Customer_ID,Transaction_Frequency,Spending,Product_Usage,Recency
C243,6,2167.52,5,43
C244,9,1771.56,6,11
C245,2,2380.4,2,166
C246,3,328.15,3,45
C247,2,387.67,2,173
C248,5,893.39,4,6
C249,2,1484.02,2,205
C250,8,2106.39,6,50
C252,3,1367.29,2,201
C253,2,312.6,2,136
C254,5,1516.64,4,100
C255,6,581.71,5,98
C256,3,273.28,3,31
C257,6,1485.62,5,9
C258,2,1207.27,2,164
C259,5,456.47,4,5
C260,2,821.71,2,85
C261,5,2060.27,5,240
C262,4,635.61,3,74
C263,2,1484.89,2,144
C264,5,391.93,5,64
C265,6,703.66,6,58
C266,5,363.73,3,40
C267,5,473.43,4,16
C268,8,1937.07,7,14
C269,4,501.81,3,23
C270,7,750.71,5,21
C271,3,2326.94,3,165
C272,8,748.22,6,88
C273,3,564.09,2,53
C274,8,2141.33,5,8
C275,9,4687.81,7,83
C276,3,1630.84,3,217
C277,4,700.37,4,8
C278,2,1978.62,2,5
C279,6,2070.33,6,91
C280,6,622.74,5,27
