Customer_ID,Transaction_ID,Transaction_Date,Product,Product_Category,Quantity,Unit_Price,Transaction_Amount,Payment_Method,Region
C221,T0028,28-01-2025,Backpack,Accessories,1,72.03,72.03,Credit Card,North
C207,T0029,08-05-2025,Blender,Home,1,134.78,134.78,Debit Card,South
C275,T0030,25-08-2025,Jeans,Clothing,1,41.01,41.01,Debit Card,North
C227,T0031,04-10-2025,Sneakers,Footwear,1,115.21,115.21,Credit Card,North
C122,T0032,25-07-2025,Headphones,Electronics,1,117.02,117.02,Credit Card,South
C195,T0033,21-08-2025,Laptop,Electronics,4,759.12,3036.48,UPI,West
C250,T0034,30-01-2025,Headphones,Electronics,1,74.83,74.83,Credit Card,East
C030,T0035,29-09-2025,Laptop,Electronics,1,901.71,901.71,Debit Card,North
C261,T0036,04-02-2025,Smartphone,Electronics,2,341.11,682.22,Debit Card,West
C062,T0037,14-11-2025,Jacket,Clothing,1,127.29,127.29,Credit Card,West
C268,T0038,10-06-2025,Backpack,Accessories,3,48.38,145.14,Debit Card,East
C203,T0039,11-06-2025,Headphones,Electronics,1,88.00,88.00,Credit Card,North
C235,T0040,07-02-2025,Jacket,Clothing,4,179.49,717.96,Debit Card,East
C068,T0041,09-07-2025,Backpack,Accessories,2,109.13,218.26,UPI,South
C225,T0042,01-12-2025,Sneakers,Footwear,2,111.17,222.34,Credit Card,East
C054,T0043,11-10-2025,Headphones,Electronics,1,182.35,182.35,Debit Card,East
C145,T0044,18-12-2025,Jacket,Clothing,1,94.57,94.57,UPI,West
C129,T0045,22-05-2025,Laptop,Electronics,1,854.15,854.15,Credit Card,North
C171,T0046,15-08-2025,Headphones,Electronics,1,81.91,81.91,Cash,North
C058,T0047,18-03-2025,Smartphone,Electronics,3,714.61,2143.83,Credit Card,East
C076,T0048,21-01-2025,T-Shirt,Clothing,1,25.79,25.79,UPI,South
C128,T0049,28-07-2025,Coffee Maker,Home,1,151.42,151.42,Debit Card,South
C084,T0050,20-06-2025,Headphones,Electronics,2,43.97,87.94,Cash,South
C137,T0051,20-01-2025,Headphones,Electronics,2,57.30,114.60,Cash,South
C103,T0052,27-04-2025,Jeans,Clothing,1,79.23,79.23,Debit Card,North
C099,T0053,23-05-2025,T-Shirt,Clothing,1,45.25,45.25,UPI,West
C275,T0054,14-05-2025,Backpack,Accessories,3,40.38,121.14,Debit Card,East
C020,T0055,10-06-2025,Smartphone,Electronics,1,507.41,507.41,Cash,North
C198,T0056,12-08-2025,Jacket,Clothing,1,55.77,55.77,Credit Card,South
C187,T0057,19-06-2025,T-Shirt,Clothing,1,38.25,38.25,UPI,North
C154,T0058,26-07-2025,Sneakers,Footwear,1,90.84,90.84,UPI,South
C099,T0059,31-03-2025,T-Shirt,Clothing,1,28.27,28.27,UPI,West
C001,T0060,24-10-2025,Mouse,Accessories,1,42.94,42.94,UPI,West
C227,T0061,28-03-2025,Jeans,Clothing,1,60.67,60.67,Credit Card,East
C264,T0062,01-05-2025,Coffee Maker,Home,1,93.57,93.57,UPI,South
C102,T0063,01-09-2025,Headphones,Electronics,1,79.17,79.17,Credit Card,West
C213,T0064,16-07-2025,Coffee Maker,Home,1,143.38,143.38,Cash,West
C125,T0065,24-02-2025,Headphones,Electronics,1,40.89,40.89,Cash,South
C091,T0066,08-05-2025,Blender,Home,1,45.52,45.52,Credit Card,West
C069,T0067,01-11-2025,Jeans,Clothing,1,89.27,89.27,UPI,West
C259,T0068,23-03-2025,T-Shirt,Clothing,2,34.18,68.36,Cash,West
C133,T0069,24-09-2025,Keyboard,Accessories,2,54.96,109.92,Cash,South
C141,T0070,20-05-2025,Jeans,Clothing,1,47.14,47.14,UPI,East
C277,T0071,22-12-2025,Smartphone,Electronics,1,438.76,438.76,Debit Card,South
C033,T0072,01-08-2025,T-Shirt,Clothing,1,33.99,33.99,Credit Card,South
C216,T0073,23-12-2025,T-Shirt,Clothing,3,35.44,106.32,Credit Card,West
C245,T0074,19-07-2025,Laptop,Electronics,3,779.17,2337.51,Cash,South
C250,T0075,19-07-2025,Keyboard,Accessories,1,73.71,73.71,UPI,West
C085,T0076,01-10-2025,Jeans,Clothing,3,88.84,266.52,Credit Card,West
C014,T0077,25-08-2025,Smartphone,Electronics,1,381.42,381.42,Debit Card,North
C134,T0078,22-06-2025,T-Shirt,Clothing,1,30.91,30.91,Cash,East
C216,T0079,04-10-2025,Mouse,Accessories,2,45.57,91.14,Credit Card,East
C115,T0080,21-01-2025,Coffee Maker,Home,1,174.45,174.45,Credit Card,South
C103,T0081,31-08-2025,Laptop,Electronics,1,743.13,743.13,Credit Card,South
C239,T0082,07-11-2025,Blender,Home,1,80.58,80.58,Credit Card,South
C160,T0083,22-10-2025,Smartphone,Electronics,1,857.33,857.33,Cash,West
C102,T0084,05-05-2025,Smartphone,Electronics,1,798.34,798.34,Credit Card,East
C062,T0085,08-08-2025,Jacket,Clothing,2,95.14,190.28,UPI,North
C260,T0086,08-09-2025,Coffee Maker,Home,1,160.44,160.44,Credit Card,West
C186,T0087,20-03-2025,Coffee Maker,Home,2,109.77,219.54,Cash,South
C268,T0088,03-10-2025,Coffee Maker,Home,1,155.07,155.07,Cash,West
C224,T0089,06-05-2025,Blender,Home,1,75.45,75.45,Credit Card,East
C231,T0090,09-12-2025,Keyboard,Accessories,2,81.29,162.58,Cash,East
C015,T0091,19-04-2025,Jeans,Clothing,2,40.91,81.82,UPI,East
C175,T0092,22-05-2025,Mouse,Accessories,2,60.58,121.16,Credit Card,South
C044,T0093,04-05-2025,Keyboard,Accessories,2,73.97,147.94,Cash,West
C230,T0094,21-12-2025,Laptop,Electronics,1,732.96,732.96,Debit Card,East
C189,T0095,09-10-2025,Jeans,Clothing,1,50.63,50.63,UPI,East
C233,T0096,09-04-2025,Mouse,Accessories,1,29.98,29.98,UPI,North
C275,T0097,05-09-2025,Blender,Home,1,63.80,63.80,UPI,East
C052,T0098,04-06-2025,Keyboard,Accessories,1,62.48,62.48,Credit Card,South
C141,T0099,24-12-2025,Laptop,Electronics,3,932.02,2796.06,Debit Card,West
C053,T0100,14-08-2025,Laptop,Electronics,1,881.64,881.64,UPI,South
C027,T0101,03-02-2025,Mouse,Accessories,3,46.05,138.15,Cash,West
C038,T0102,18-03-2025,Jacket,Clothing,1,56.97,56.97,UPI,North
C128,T0103,02-11-2025,Smartphone,Electronics,1,549.70,549.70,Debit Card,West
C231,T0104,08-08-2025,Jeans,Clothing,1,65.31,65.31,UPI,North
C051,T0105,11-02-2025,Keyboard,Accessories,1,53.82,53.82,Debit Card,South
C089,T0106,19-08-2025,Sneakers,Footwear,1,50.27,50.27,Cash,East
C017,T0107,21-08-2025,Keyboard,Accessories,1,55.44,55.44,Credit Card,South
C136,T0108,12-04-2025,Coffee Maker,Home,1,154.51,154.51,Cash,North
C279,T0109,14-03-2025,Keyboard,Accessories,1,111.76,111.76,Credit Card,North
C085,T0110,28-05-2025,Mouse,Accessories,1,68.58,68.58,Cash,North
C240,T0111,20-05-2025,Blender,Home,1,84.28,84.28,Cash,West
C042,T0112,15-06-2025,Jacket,Clothing,1,106.16,106.16,UPI,North
C047,T0113,22-10-2025,Keyboard,Accessories,3,105.24,315.72,Credit Card,East
C021,T0114,23-05-2025,Headphones,Electronics,1,144.24,144.24,Debit Card,West
C252,T0115,14-06-2025,Smartphone,Electronics,1,545.01,545.01,Credit Card,South
C169,T0116,25-07-2025,T-Shirt,Clothing,1,25.09,25.09,Credit Card,West
C046,T0117,26-07-2025,Backpack,Accessories,1,40.43,40.43,Credit Card,West
C212,T0118,13-09-2025,Laptop,Electronics,1,817.07,817.07,Cash,North
C105,T0119,13-08-2025,Mouse,Accessories,1,75.30,75.30,Cash,North
C015,T0120,23-03-2025,Coffee Maker,Home,1,81.11,81.11,UPI,North
C209,T0121,28-02-2025,Smartphone,Electronics,1,804.84,804.84,Cash,North
C079,T0122,28-12-2025,Jeans,Clothing,3,47.51,142.53,UPI,West
C248,T0123,16-07-2025,Jeans,Clothing,1,63.08,63.08,Debit Card,South
C036,T0124,24-06-2025,Mouse,Accessories,2,70.54,141.08,UPI,North
C145,T0125,04-12-2025,Blender,Home,1,104.56,104.56,Cash,South
C229,T0126,06-10-2025,Sneakers,Footwear,1,83.24,83.24,Cash,West
C165,T0127,16-07-2025,Keyboard,Accessories,4,51.49,205.96,Debit Card,West
C023,T0128,15-07-2025,Backpack,Accessories,2,93.47,186.94,Cash,South
C254,T0129,19-06-2025,Laptop,Electronics,1,1179.21,1179.21,Credit Card,West
C052,T0130,15-03-2025,Sneakers,Footwear,3,51.53,154.59,Cash,South
C039,T0131,16-11-2025,Jeans,Clothing,2,45.90,91.80,Cash,North
C169,T0132,12-06-2025,Coffee Maker,Home,2,99.40,198.80,Cash,North
C036,T0133,27-04-2025,Keyboard,Accessories,1,112.88,112.88,Credit Card,West
C051,T0134,27-03-2025,Coffee Maker,Home,2,63.07,126.14,UPI,North
C024,T0135,11-07-2025,Backpack,Accessories,2,56.40,112.80,Cash,South
C126,T0136,03-04-2025,Sneakers,Footwear,1,118.18,118.18,Debit Card,South
C041,T0137,04-05-2025,Jacket,Clothing,2,130.56,261.12,Cash,South
C119,T0138,08-12-2025,Jeans,Clothing,1,57.57,57.57,Credit Card,West
C148,T0139,26-06-2025,Coffee Maker,Home,1,59.60,59.60,UPI,West
C129,T0140,16-07-2025,Jeans,Clothing,2,41.95,83.90,Cash,North
C122,T0141,25-12-2025,T-Shirt,Clothing,1,35.12,35.12,UPI,North
C203,T0142,26-01-2025,Mouse,Accessories,1,71.23,71.23,Cash,East
C118,T0143,08-04-2025,Jacket,Clothing,2,78.47,156.94,UPI,South
C050,T0144,14-08-2025,Coffee Maker,Home,1,90.16,90.16,Credit Card,East
C068,T0145,01-08-2025,Smartphone,Electronics,3,496.03,1488.09,Debit Card,South
C068,T0146,14-09-2025,Sneakers,Footwear,2,86.59,173.18,UPI,South
C132,T0147,23-06-2025,Jeans,Clothing,3,47.71,143.13,Credit Card,West
C039,T0148,13-12-2025,Headphones,Electronics,2,76.10,152.20,Cash,East
C047,T0149,21-08-2025,T-Shirt,Clothing,1,33.78,33.78,UPI,East
C196,T0150,30-04-2025,Coffee Maker,Home,3,64.08,192.24,Cash,North
C168,T0151,26-08-2025,Jacket,Clothing,1,58.22,58.22,UPI,West
C060,T0152,10-09-2025,Headphones,Electronics,1,45.95,45.95,Credit Card,North
C121,T0153,10-12-2025,Sneakers,Footwear,1,95.36,95.36,Cash,South
C213,T0154,28-07-2025,Coffee Maker,Home,1,113.62,113.62,UPI,North
C190,T0155,05-07-2025,Keyboard,Accessories,1,115.55,115.55,Credit Card,East
C279,T0156,08-04-2025,Coffee Maker,Home,1,101.76,101.76,Credit Card,West
C047,T0157,11-01-2025,Coffee Maker,Home,1,133.13,133.13,Credit Card,East
C125,T0158,11-10-2025,Headphones,Electronics,2,72.83,145.66,Debit Card,South
C120,T0159,02-11-2025,Backpack,Accessories,2,100.98,201.96,Credit Card,East
C075,T0160,26-02-2025,Headphones,Electronics,1,167.76,167.76,Credit Card,South
C008,T0161,15-06-2025,Backpack,Accessories,2,51.41,102.82,Credit Card,South
C136,T0162,28-02-2025,Laptop,Electronics,1,852.58,852.58,Credit Card,West
C230,T0163,15-09-2025,Backpack,Accessories,1,39.81,39.81,Debit Card,North
C267,T0164,01-02-2025,Mouse,Accessories,1,77.66,77.66,Cash,West
C219,T0165,16-08-2025,Coffee Maker,Home,1,142.61,142.61,Credit Card,North
C165,T0166,16-11-2025,Jacket,Clothing,1,66.40,66.40,UPI,West
C272,T0167,20-02-2025,Mouse,Accessories,1,54.35,54.35,Credit Card,South
C221,T0168,21-08-2025,Jeans,Clothing,2,54.83,109.66,Cash,West
C049,T0169,11-07-2025,Backpack,Accessories,1,89.86,89.86,Debit Card,West
C035,T0170,19-02-2025,Smartphone,Electronics,2,355.94,711.88,UPI,South
C031,T0171,10-12-2025,Jacket,Clothing,3,123.02,369.06,Credit Card,West
C182,T0172,27-01-2025,Coffee Maker,Home,3,104.98,314.94,UPI,East
C181,T0173,03-12-2025,Smartphone,Electronics,1,427.64,427.64,Cash,South
C056,T0174,23-05-2025,Backpack,Accessories,2,63.08,126.16,Debit Card,West
C014,T0175,17-05-2025,Jacket,Clothing,3,157.83,473.49,Credit Card,South
C140,T0176,29-06-2025,Blender,Home,2,141.37,282.74,Credit Card,South
C074,T0177,21-11-2025,Jacket,Clothing,1,59.05,59.05,Credit Card,North
C272,T0178,22-03-2025,Keyboard,Accessories,1,70.83,70.83,UPI,East
C167,T0179,21-03-2025,Jacket,Clothing,1,164.83,164.83,Debit Card,North
C042,T0180,07-11-2025,Mouse,Accessories,1,42.56,42.56,Cash,West
C140,T0181,09-08-2025,Keyboard,Accessories,2,40.24,80.48,Credit Card,East
C250,T0182,22-07-2025,Sneakers,Footwear,1,54.54,54.54,Credit Card,North
C105,T0183,11-05-2025,Mouse,Accessories,3,64.88,194.64,UPI,East
C062,T0184,08-03-2025,Laptop,Electronics,1,858.39,858.39,Cash,South
C257,T0185,06-02-2025,Sneakers,Footwear,2,130.62,261.24,Cash,North
C224,T0186,10-06-2025,Laptop,Electronics,1,646.72,646.72,Cash,West
C214,T0187,16-06-2025,Mouse,Accessories,1,16.36,16.36,Debit Card,West
C186,T0188,12-08-2025,Smartphone,Electronics,1,363.52,363.52,Cash,North
C203,T0189,28-03-2025,Mouse,Accessories,2,29.40,58.80,Credit Card,North
C272,T0190,29-06-2025,Sneakers,Footwear,1,127.62,127.62,Debit Card,South
C053,T0191,20-03-2025,Headphones,Electronics,1,67.76,67.76,Credit Card,South
C253,T0192,18-08-2025,Jeans,Clothing,2,75.59,151.18,UPI,East
C078,T0193,05-06-2025,Jeans,Clothing,1,56.53,56.53,UPI,North
C181,T0194,20-01-2025,Sneakers,Footwear,1,96.17,96.17,Credit Card,East
C147,T0195,16-02-2025,Smartphone,Electronics,1,886.42,886.42,Cash,West
C022,T0196,07-04-2025,Jeans,Clothing,3,64.30,192.90,UPI,West
C257,T0197,25-06-2025,Headphones,Electronics,3,112.08,336.24,Credit Card,South
C021,T0198,26-09-2025,Keyboard,Accessories,2,119.19,238.38,Debit Card,East
C191,T0199,14-12-2025,Mouse,Accessories,1,65.34,65.34,Credit Card,East
C034,T0200,26-05-2025,Backpack,Accessories,1,91.05,91.05,UPI,South
C171,T0201,29-06-2025,Smartphone,Electronics,1,384.86,384.86,UPI,West
C067,T0202,14-10-2025,Jacket,Clothing,2,61.01,122.02,Cash,East
C066,T0203,17-12-2025,Coffee Maker,Home,2,173.12,346.24,Credit Card,West
C261,T0204,20-04-2025,Backpack,Accessories,1,57.80,57.80,UPI,West
C099,T0205,01-06-2025,Keyboard,Accessories,4,43.95,175.80,Credit Card,North
C173,T0206,25-03-2025,Jacket,Clothing,1,98.97,98.97,Debit Card,South
C225,T0207,02-05-2025,Laptop,Electronics,1,1005.82,1005.82,Cash,East
C230,T0208,29-08-2025,Keyboard,Accessories,1,57.85,57.85,Debit Card,East
C226,T0209,15-09-2025,Jeans,Clothing,2,76.69,153.38,Cash,South
C103,T0210,25-11-2025,Jacket,Clothing,1,82.50,82.50,Cash,East
C053,T0211,26-05-2025,Blender,Home,2,133.63,267.26,Credit Card,South
C140,T0212,12-08-2025,Jeans,Clothing,3,38.84,116.52,Credit Card,South
C231,T0213,22-07-2025,Backpack,Accessories,3,67.34,202.02,UPI,South
C198,T0214,20-02-2025,Smartphone,Electronics,1,316.91,316.91,UPI,South
C071,T0215,23-12-2025,Laptop,Electronics,1,1097.86,1097.86,Debit Card,West
C230,T0216,12-05-2025,Jacket,Clothing,1,60.30,60.30,Debit Card,South
C271,T0217,04-06-2025,T-Shirt,Clothing,1,25.08,25.08,Credit Card,North
C123,T0218,02-02-2025,T-Shirt,Clothing,1,36.80,36.80,Credit Card,West
C275,T0219,15-03-2025,Laptop,Electronics,1,945.03,945.03,UPI,West
C001,T0220,06-04-2025,Jacket,Clothing,1,124.19,124.19,Credit Card,East
C035,T0221,17-09-2025,Sneakers,Footwear,1,128.64,128.64,Credit Card,West
C241,T0222,10-05-2025,Laptop,Electronics,1,1188.62,1188.62,Credit Card,East
C035,T0223,23-02-2025,Backpack,Accessories,1,89.14,89.14,UPI,South
C023,T0224,31-03-2025,Backpack,Accessories,1,103.22,103.22,Cash,West
C094,T0225,23-08-2025,Headphones,Electronics,1,164.19,164.19,Credit Card,East
C104,T0226,11-06-2025,Laptop,Electronics,2,1131.47,2262.94,UPI,West
C279,T0227,08-04-2025,Jeans,Clothing,1,75.20,75.20,UPI,East
C025,T0228,08-07-2025,Coffee Maker,Home,1,66.18,66.18,Cash,West
C226,T0229,21-12-2025,T-Shirt,Clothing,1,21.54,21.54,Cash,East
C266,T0230,10-02-2025,Mouse,Accessories,2,62.26,124.52,Cash,South
C280,T0231,05-12-2025,Mouse,Accessories,1,20.20,20.20,UPI,East
C229,T0232,16-08-2025,Jacket,Clothing,2,71.66,143.32,UPI,West
C022,T0233,11-08-2025,Blender,Home,2,78.78,157.56,UPI,North
C039,T0234,14-12-2025,Coffee Maker,Home,1,97.23,97.23,Debit Card,North
C074,T0235,06-03-2025,Jacket,Clothing,1,106.96,106.96,Credit Card,South
C188,T0236,06-11-2025,Backpack,Accessories,1,81.05,81.05,Debit Card,West
C190,T0237,12-03-2025,Backpack,Accessories,1,36.92,36.92,UPI,West
C161,T0238,14-01-2025,Coffee Maker,Home,1,174.87,174.87,Debit Card,West
C266,T0239,14-05-2025,T-Shirt,Clothing,3,19.12,57.36,Cash,South
C147,T0240,04-03-2025,Blender,Home,3,94.03,282.09,Debit Card,North
C232,T0241,14-02-2025,Headphones,Electronics,2,111.22,222.44,UPI,East
C034,T0242,22-03-2025,Sneakers,Footwear,1,139.13,139.13,Debit Card,East
C261,T0243,13-03-2025,Keyboard,Accessories,1,48.09,48.09,Debit Card,West
C014,T0244,10-10-2025,Backpack,Accessories,1,63.20,63.20,Debit Card,North
C034,T0245,03-09-2025,Mouse,Accessories,1,61.60,61.60,Cash,West
C038,T0246,19-08-2025,Headphones,Electronics,3,142.77,428.31,Cash,East
C066,T0247,08-03-2025,Sneakers,Footwear,1,68.20,68.20,Cash,North
C064,T0248,15-06-2025,Sneakers,Footwear,1,66.47,66.47,Debit Card,East
C266,T0249,22-11-2025,Mouse,Accessories,2,31.29,62.58,UPI,South
C156,T0250,28-03-2025,Jacket,Clothing,1,115.33,115.33,Debit Card,South
C173,T0251,11-02-2025,Jacket,Clothing,1,162.29,162.29,Credit Card,East
C108,T0252,12-09-2025,Jacket,Clothing,1,133.07,133.07,UPI,East
C248,T0253,02-06-2025,Keyboard,Accessories,2,91.65,183.30,Cash,North
C031,T0254,15-04-2025,Headphones,Electronics,1,117.48,117.48,UPI,South
C161,T0255,26-06-2025,Blender,Home,1,148.68,148.68,Cash,South
C190,T0256,27-08-2025,Sneakers,Footwear,1,81.91,81.91,Credit Card,East
C231,T0257,16-07-2025,Keyboard,Accessories,1,34.55,34.55,Cash,South
C082,T0258,08-04-2025,Backpack,Accessories,3,94.90,284.70,Debit Card,West
C264,T0259,12-01-2025,Jeans,Clothing,1,48.51,48.51,Credit Card,West
C259,T0260,30-06-2025,Jeans,Clothing,3,42.91,128.73,Credit Card,North
C145,T0261,11-12-2025,Jeans,Clothing,1,80.57,80.57,Cash,East
C275,T0262,16-05-2025,Laptop,Electronics,2,858.56,1717.12,UPI,West
C188,T0263,10-04-2025,Laptop,Electronics,1,942.17,942.17,UPI,East
C038,T0264,24-05-2025,T-Shirt,Clothing,1,41.75,41.75,Credit Card,South
C050,T0265,13-10-2025,T-Shirt,Clothing,1,49.54,49.54,UPI,South
C102,T0266,24-01-2025,Jacket,Clothing,1,115.01,115.01,Credit Card,South
C171,T0267,21-09-2025,Jeans,Clothing,1,38.94,38.94,Debit Card,East
C164,T0268,03-06-2025,Headphones,Electronics,1,138.64,138.64,UPI,West
C154,T0269,11-12-2025,Jeans,Clothing,2,52.10,104.20,Credit Card,West
C158,T0270,02-11-2025,Blender,Home,2,109.22,218.44,Cash,East
C117,T0271,26-09-2025,Blender,Home,1,92.85,92.85,Cash,South
C125,T0272,08-04-2025,Laptop,Electronics,1,1020.31,1020.31,Credit Card,West
C161,T0273,30-07-2025,T-Shirt,Clothing,1,39.17,39.17,Cash,North
C071,T0274,06-12-2025,Sneakers,Footwear,1,82.50,82.50,Cash,West
C161,T0275,07-10-2025,Headphones,Electronics,1,125.30,125.30,UPI,East
C248,T0276,02-06-2025,Keyboard,Accessories,3,55.11,165.33,Debit Card,East
C148,T0277,12-06-2025,Blender,Home,1,117.55,117.55,Cash,East
C141,T0278,14-07-2025,Mouse,Accessories,1,58.98,58.98,Cash,East
C075,T0279,10-02-2025,Mouse,Accessories,1,77.10,77.10,UPI,West
C132,T0280,03-10-2025,Blender,Home,1,62.23,62.23,UPI,East
C071,T0281,05-05-2025,Smartphone,Electronics,1,652.10,652.10,Credit Card,South
C120,T0282,30-08-2025,Laptop,Electronics,1,798.18,798.18,Credit Card,South
C003,T0283,01-12-2025,Sneakers,Footwear,3,65.79,197.37,Cash,West
C103,T0284,15-02-2025,Mouse,Accessories,1,56.98,56.98,Debit Card,North
C090,T0285,19-01-2025,T-Shirt,Clothing,2,21.15,42.30,Cash,West
C096,T0286,20-01-2025,Blender,Home,3,141.86,425.58,Credit Card,East
C055,T0287,06-10-2025,Backpack,Accessories,1,119.02,119.02,Cash,South
C259,T0288,19-06-2025,Jeans,Clothing,1,78.53,78.53,Debit Card,West
C132,T0289,01-06-2025,Blender,Home,1,121.03,121.03,Debit Card,South
C208,T0290,09-12-2025,T-Shirt,Clothing,1,18.04,18.04,Credit Card,South
C072,T0291,14-05-2025,Jeans,Clothing,1,44.88,44.88,Cash,South
C229,T0292,21-10-2025,Mouse,Accessories,3,34.63,103.89,Credit Card,East
C185,T0293,27-08-2025,Blender,Home,1,113.46,113.46,UPI,South
C208,T0294,27-12-2025,Coffee Maker,Home,1,166.37,166.37,UPI,North
C152,T0295,10-03-2025,Backpack,Accessories,1,49.72,49.72,Cash,South
C233,T0296,26-12-2025,Blender,Home,4,81.10,324.40,Cash,South
C127,T0297,11-02-2025,Coffee Maker,Home,2,163.51,327.02,Cash,East
C040,T0298,16-09-2025,Jacket,Clothing,1,157.74,157.74,Debit Card,South
C085,T0299,15-12-2025,Backpack,Accessories,2,69.77,139.54,Debit Card,West
C047,T0300,09-03-2025,Sneakers,Footwear,1,55.56,55.56,Cash,West
C030,T0301,12-01-2025,Sneakers,Footwear,1,130.69,130.69,Cash,East
C002,T0302,05-08-2025,Blender,Home,1,48.03,48.03,UPI,North
C278,T0303,30-08-2025,Laptop,Electronics,3,641.41,1924.23,Credit Card,East
C210,T0304,27-11-2025,Headphones,Electronics,2,162.53,325.06,Cash,East
C196,T0305,12-07-2025,Jeans,Clothing,2,84.41,168.82,Credit Card,South
C179,T0306,28-09-2025,Smartphone,Electronics,1,622.36,622.36,Debit Card,South
C002,T0307,06-10-2025,Laptop,Electronics,3,877.80,2633.40,Cash,West
C118,T0308,07-04-2025,Keyboard,Accessories,1,43.96,43.96,Credit Card,North
C215,T0309,09-01-2025,Jacket,Clothing,2,164.89,329.78,Debit Card,South
C035,T0310,11-12-2025,Smartphone,Electronics,1,567.86,567.86,Credit Card,South
C023,T0311,29-01-2025,T-Shirt,Clothing,1,33.89,33.89,Debit Card,East
C120,T0312,11-12-2025,Blender,Home,1,103.52,103.52,UPI,South
C155,T0313,31-07-2025,Headphones,Electronics,4,123.40,493.60,UPI,East
C032,T0314,31-03-2025,Sneakers,Footwear,3,137.97,413.91,Cash,West
C025,T0315,26-09-2025,Backpack,Accessories,3,90.42,271.26,UPI,West
C210,T0316,03-10-2025,Headphones,Electronics,1,69.42,69.42,Cash,South
C116,T0317,26-08-2025,Mouse,Accessories,2,24.38,48.76,Credit Card,West
C214,T0318,11-05-2025,Sneakers,Footwear,1,88.84,88.84,Debit Card,East
C041,T0319,08-04-2025,Jeans,Clothing,2,35.55,71.10,Credit Card,East
C194,T0320,07-02-2025,Coffee Maker,Home,1,55.14,55.14,Debit Card,South
C246,T0321,08-01-2025,Keyboard,Accessories,2,59.97,119.94,Debit Card,South
C061,T0322,05-05-2025,Blender,Home,4,92.68,370.72,Debit Card,West
C123,T0323,27-08-2025,Sneakers,Footwear,1,78.31,78.31,UPI,East
C134,T0324,20-02-2025,Backpack,Accessories,1,74.75,74.75,Cash,East
C105,T0325,24-04-2025,Backpack,Accessories,1,34.11,34.11,Debit Card,North
C134,T0326,02-08-2025,Sneakers,Footwear,3,107.91,323.73,UPI,South
C101,T0327,06-05-2025,Backpack,Accessories,1,81.28,81.28,Cash,East
C132,T0328,09-09-2025,Jeans,Clothing,3,68.50,205.50,Cash,South
C181,T0329,05-04-2025,Headphones,Electronics,1,127.45,127.45,Credit Card,North
C039,T0330,12-03-2025,Coffee Maker,Home,1,50.83,50.83,Debit Card,North
C078,T0331,31-01-2025,Laptop,Electronics,1,873.61,873.61,Cash,West
C009,T0332,09-01-2025,Laptop,Electronics,1,846.80,846.80,UPI,East
C009,T0333,02-04-2025,Sneakers,Footwear,2,117.40,234.80,Credit Card,North
C269,T0334,10-05-2025,Headphones,Electronics,1,139.16,139.16,UPI,East
C204,T0335,17-10-2025,Smartphone,Electronics,1,543.62,543.62,Debit Card,South
